h.country,gni,expct
United States,43017,12.612828
Canada,35166,29.430607
Liechtenstein,83717,NULL
Switzerland,39924,53.5544
Japan,32295,15.216059
Iceland,29354,56.032036
Denmark,34347,50.32588
Israel,25849,36.96338
Belgium,33357,80.00875
Austria,35719,53.971355
Singapore,52569,211.06427
Czech Republic,21405,79.313576
United Kingdom,33296,30.120226
Greece,23747,21.502867
Brunei Darussalam,45753,NULL
Malta,21460,85.15964
Qatar,107721,NULL
Hungary,16581,86.54506
Poland,17451,42.276604
Lithuania,16234,68.22058
Bahrain,28169,NULL
Argentina,14527,21.706469
Barbados,17966,47.34396
Palau,9744,NULL
Romania,11046,23.486568
Seychelles,16729,NULL
Bulgaria,11412,57.798603
Grenada,6982,20.997988
Kazakhstan,10585,43.95483
Costa Rica,10497,38.069687
Georgia,4780,34.79734
Mauritius,12918,52.4298
Ecuador,7589,32.949406
Armenia,5188,20.58361
Oman,22841,NULL
Tunisia,7281,48.713005
Jordan,5300,44.53086
Fiji,4145,52.537148
Suriname,7538,NULL
Gabon,12249,61.610462
Paraguay,4727,57.096786
Mongolia,3391,54.699894
Philippines,3478,34.80329
Uzbekistan,2967,31.473864
Guyana,3192,NULL
Honduras,3443,43.871174
Kiribati,3140,NULL
South Africa,9469,27.314096
Indonesia,3716,24.612143
Guatemala,4167,25.096445
Cape Verde,3402,39.255196
Equatorial Guinea,17608,NULL
Bhutan,5293,NULL
Pakistan,2550,13.553037
Papua New Guinea,2271,55.852116
Nigeria,2069,36.840103
Netherlands,36402,78.04811
New Zealand,23737,28.71364
Germany,34854,46.82655
Slovenia,24914,65.424706
Cyprus,24841,40.114513
Serbia,10236,34.892265
Antigua and Barbuda,15521,44.08267
Russian Federation,14561,30.044847
Maldives,5276,49.699734
Ireland,29322,101.07763
Finland,32438,40.419872
Mexico,13245,30.287733
Malaysia,13685,97.30356
Kuwait,47926,NULL
Bosnia and Herzegovina,7664,35.92036
Azerbaijan,8666,55.125755
Thailand,7694,71.250656
Namibia,6206,38.92838
Nicaragua,2430,41.340187
Swaziland,4484,54.811127
Sweden,35837,50.00551
United Arab Emirates,59993,77.93688
Portugal,20573,31.03351
Montenegro,10361,35.557377
Dominica,7889,32.05712
Turkey,12246,21.116798
Sri Lanka,4943,21.687565
Turkmenistan,7306,51.733185
Spain,26508,26.256668
Italy,26484,26.65724
Estonia,16799,78.267
Panama,12335,65.22895
Albania,7803,29.77231
Lebanon,13076,20.94512
Jamaica,6487,25.552992
Brazil,10162,11.15298
Tonga,4186,13.42907
Algeria,7658,30.830406
El Salvador,5925,26.17336
Vanuatu,3950,47.310917
India,3468,21.537624
Timor-Leste,3005,NULL
Djibouti,2335,NULL
Chile,13329,38.71985
Cuba,5416,19.613546
Trinidad and Tobago,23439,NULL
Colombia,8315,15.7155285
Belize,5812,NULL
Morocco,4196,33.00044
Cameroon,2031,28.922243
Norway,47557,41.14459
Australia,34431,19.780243
Luxembourg,50557,164.98862
Latvia,14293,53.370037
Uruguay,13242,26.869804
Ukraine,6175,50.18833
Dominican Republic,8087,22.262102
Samoa,3931,31.979877
Syrian Arab Republic,4243,35.326454
Iraq,3177,NULL
Angola,4874,56.835884
France,30462,25.463194
Andorra,36095,NULL
Croatia,15729,38.322758
Saudi Arabia,23274,56.79473
Belarus,13439,54.623608
Peru,8389,25.108027
China,7476,29.571701
Botswana,13049,32.641003
